iter	RMSE
0	1.712474147
1	1.712252398
2	1.712173265
3	1.712172912
4	1.712037338
5	1.711949626
6	1.711948577
7	1.711866639
8	1.711814855
9	1.711713919
10	1.711640054
11	1.71162273
12	1.711611336
13	1.711534429
14	1.711434493
15	1.711344821
16	1.711299299
17	1.711189044
18	1.711162081
19	1.711128856
20	1.710882746
21	1.710791437
22	1.710767882
23	1.710733931
24	1.710733397
25	1.710667838
26	1.710660559
27	1.710643429
28	1.71061565
29	1.710581832
30	1.710538029
31	1.710535508
32	1.710499788
33	1.710496966
34	1.710458388
35	1.710386202
36	1.710386202
37	1.710385537
