iter	Passed	Remaining
0	61	60993
1	181	90353
2	284	94522
3	330	82312
4	431	85950
5	579	95932
6	596	84631
7	707	87672
8	831	91575
9	938	92893
10	1049	94355
11	1152	94907
12	1249	94885
13	1380	97241
14	1509	99097
15	1619	99605
16	1748	101081
17	1866	101848
18	1972	101828
19	2083	102096
20	2207	102930
21	2367	105231
22	2550	108348
23	2695	109634
24	2736	106735
25	2880	107924
26	2931	105658
27	3059	106220
28	3176	106342
29	3282	106129
30	3399	106247
31	3445	104233
32	3576	104790
33	3603	102377
34	3717	102509
35	3845	102969
36	3857	100388
37	3878	98189
